id,activity,application,application_id,attachments,author.avatar,author.avatar_decoration_data,author.avatar_decoration_data.asset,author.avatar_decoration_data.expires_at,author.avatar_decoration_data.sku_id,author.clan,author.discriminator,author.global_name,author.id,author.public_flags,author.username,call,channel_id,components,content,date,edited_timestamp,embeds,embeds.0.author.name,embeds.0.author.url,embeds.0.color,embeds.0.content_scan_version,embeds.0.description,embeds.0.footer.icon_url,embeds.0.footer.proxy_icon_url,embeds.0.footer.text,embeds.0.provider.name,embeds.0.provider.url,embeds.0.reference_id,embeds.0.thumbnail.flags,embeds.0.thumbnail.height,embeds.0.thumbnail.placeholder,embeds.0.thumbnail.placeholder_version,embeds.0.thumbnail.proxy_url,embeds.0.thumbnail.url,embeds.0.thumbnail.width,embeds.0.title,embeds.0.type,embeds.0.url,embeds.0.video.flags,embeds.0.video.height,embeds.0.video.placeholder,embeds.0.video.placeholder_version,embeds.0.video.proxy_url,embeds.0.video.url,embeds.0.video.width,embeds.1.color,embeds.1.content_scan_version,embeds.1.description,embeds.1.provider.name,embeds.1.thumbnail.flags,embeds.1.thumbnail.height,embeds.1.thumbnail.placeholder,embeds.1.thumbnail.placeholder_version,embeds.1.thumbnail.proxy_url,embeds.1.thumbnail.url,embeds.1.thumbnail.width,embeds.1.title,embeds.1.type,embeds.1.url,embeds.2.color,embeds.2.content_scan_version,embeds.2.description,embeds.2.provider.name,embeds.2.thumbnail.flags,embeds.2.thumbnail.height,embeds.2.thumbnail.placeholder,embeds.2.thumbnail.placeholder_version,embeds.2.thumbnail.proxy_url,embeds.2.thumbnail.url,embeds.2.thumbnail.width,embeds.2.title,embeds.2.type,embeds.2.url,flags,interaction,mention_channels,mention_everyone,mentions,mentions.0.avatar,mentions.0.avatar_decoration_data,mentions.0.clan,mentions.0.discriminator,mentions.0.global_name,mentions.0.id,mentions.0.public_flags,mentions.0.username,message_reference,message_reference.channel_id,message_reference.guild_id,message_reference.message_id,message_reference.type,nonce,pinned,position,reactions,reactions.0.burst_colors,reactions.0.burst_count,reactions.0.burst_me,reactions.0.count,reactions.0.count_details.burst,reactions.0.count_details.normal,reactions.0.emoji.id,reactions.0.emoji.name,reactions.0.me,reactions.0.me_burst,reactions.1.burst_colors,reactions.1.burst_count,reactions.1.burst_me,reactions.1.count,reactions.1.count_details.burst,reactions.1.count_details.normal,reactions.1.emoji.id,reactions.1.emoji.name,reactions.1.me,reactions.1.me_burst,reactions.2.burst_colors,reactions.2.burst_count,reactions.2.burst_me,reactions.2.count,reactions.2.count_details.burst,reactions.2.count_details.normal,reactions.2.emoji.id,reactions.2.emoji.name,reactions.2.me,reactions.2.me_burst,referenced_message,resolved,role_subscription_data,sticker_items,sticker_items.0.format_type,sticker_items.0.id,sticker_items.0.name,stickers,thread,timestamp,tts,type,userName,webhook_id
1308656206486835241,,,,,eb075071d099da7408cb374bf869dd4b,,,,,,0,macd,132124213132787712,0,macd_,,1303438635772809311,,definitely look at uploading to https://www.kaggle.com/datasets - you never know when someone might be looking for that exact dataset!,2024-11-20T04:52:33.283Z,,,,,35516,0,"Download Open Datasets on 1000s of Projects + Share Projects on One Platform. Explore Popular Topics Like Government, Sports, Medicine, Fintech, Food, More. Flexible Data Ingestion.",,,,,,1308656206486835241,,,,,,,,Find Open Datasets and Machine Learning Projects | Kaggle,link,https://www.kaggle.com/datasets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,0,shorch,1086222878527209472,0,danila.makeev,,1303438635772809311,1101210829807956100,1308558770330140727,0,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-20T04:52:33.283000+00:00,false,19,macd_,
1308462155418308608,,,,,1e35fbf9d3622ac9607ae2f178835a2b,,,,,,0,Nitin Kumar,1305237452465766473,0,nitinkumar237,,1303438635772809311,,"Hey Data Analysts and mates , Feel free to build up a connect with me over linkedIn : https://www.linkedin.com/in/nitin-kumar-8213361a6/",2024-11-19T16:01:27.903Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-19T16:01:27.903000+00:00,false,0,nitinkumar237,
1308377435602944042,,,,,,,,,,,0,Raahim Naeem Ali,1308369423337259008,0,raahim81,,1303438635772809311,,"Hello everyone, my name is Raahim and I'm a software engineer, currently working with Python, AWS and data-science/NLP based projects. 

https://www.linkedin.com/in/raahim-naeem-ali/",2024-11-19T10:24:49.125Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-19T10:24:49.125000+00:00,false,0,raahim81,
1308363414904766485,,,,,1cb98e3caa693728dce88b981458d3ce,,,,,,0,karima,861539210103750656,0,karima.ibrahim,,1303438635772809311,,"hello every one , my name is karima , from egypt , developer and post-grade researcher at data science 
https://www.linkedin.com/in/karima-sobhy/",2024-11-19T09:29:06.330Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-19T09:29:06.330000+00:00,false,0,karima.ibrahim,
1308350968454451210,,,,,,,,,,,0,Priyanka Srivastava,1305198827032285320,0,priyankasrivastava0474,,1303438635772809311,,"Hi Everyone as we have completed this 5 day journey, would like to extend my gratitude to Kaggle and Google for organizing such a fantastic course with such interesting content and interactive code labs. It was a pleasure be a part of such an enthusiastic group of people.
Let’s connect with me on LinkedIn and continue our journey together 

http://linkedin.com/in/priyanka-srivastava-52350771",2024-11-19T08:39:38.865Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,false,,,,0,false,1,0,1,,👍,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-19T08:39:38.865000+00:00,false,0,priyankasrivastava0474,
1308332890337050655,,,,,1e35fbf9d3622ac9607ae2f178835a2b,,,,,,0,Nitin Kumar,1305237452465766473,0,nitinkumar237,,1303438635772809311,,"Hey Data Analysts and mates , Feel free to build up a connect with me over linkedIn : https://www.linkedin.com/in/nitin-kumar-8213361a6/",2024-11-19T07:27:48.706Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,false,,,,0,false,2,0,2,,👋,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-19T07:27:48.706000+00:00,false,0,nitinkumar237,
1308299952929116160,,,,,,,,,,,0,Beat-Buddy,1153407987998806037,0,rishiazh_89629,,1303438635772809311,,"Python SQL Integration using PyMySql 💥


https://www.linkedin.com/posts/rishi-maddheshiya-020b14267_python-sql-datascience-activity-7264287648293240832-vl5V?utm_source=share&utm_medium=member_android",2024-11-19T05:16:55.816Z,,,,,,1,"🔗 Python Meets SQL: My Journey with PyMySQL Integration

LLA 🟢— Every time I saw impressive integrations during my data science course, I wondered: How do…",,,,,,,0,470,l3gKO5ZPeEuId1hrj4n3mYg=,1,https://images-ext-1.discordapp.net/external/ZDfstU7ZXzef7cmQwRXc3XpQYK4jk4_84sCaWemnwOM/%3Fe%3D2147483647%26v%3Dbeta%26t%3DtHdXTHFAGO0YTxiE1PeSTmuw4erQLNV9DthiSX7CKDs/https/media.licdn.com/dms/image/v2/D5622AQHK3dcahe7Gqg/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1731941136796,https://media.licdn.com/dms/image/v2/D5622AQHK3dcahe7Gqg/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1731941136796?e=2147483647&v=beta&t=tHdXTHFAGO0YTxiE1PeSTmuw4erQLNV9DthiSX7CKDs,1000,Rishi Maddheshiya on LinkedIn: #python #sql #datascience #githubjou...,article,https://www.linkedin.com/posts/rishi-maddheshiya-020b14267_python-sql-datascience-activity-7264287648293240832-vl5V?utm_source=share&utm_medium=member_android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-19T05:16:55.816000+00:00,false,0,rishiazh_89629,
1308142734657454142,,,,,1e35fbf9d3622ac9607ae2f178835a2b,,,,,,0,Nitin Kumar,1305237452465766473,0,nitinkumar237,,1303438635772809311,,"Hey Data Analysts and mates , Feel free to build up a connect with me over linkedIn : https://www.linkedin.com/in/nitin-kumar-8213361a6/",2024-11-18T18:52:12.059Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-18T18:52:12.059000+00:00,false,0,nitinkumar237,
1308140049895784579,,,,,,,,,,,0,Aslău Patrick,892522022108819537,0,aslaupatrick,,1303438635772809311,,"Hi to everyone! I am Alexandru Patrick Aslău from Romania! You can connect with me on linkedIn, this is the link: https://www.linkedin.com/in/alexandru-aslău-328a3a301",2024-11-18T18:41:31.962Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-18T18:41:31.962000+00:00,false,0,aslaupatrick,
1308129728338722857,,,,,,,,,,,0,RujN,876908936006086706,0,rujn123,,1303438635772809311,,Hi Everyone! This is Rujuta here and this is my LinkedIn - https://www.linkedin.com/in/rujutan?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=android_app,2024-11-18T18:00:31.111Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-18T18:00:31.111000+00:00,false,0,rujn123,
1308059466142580792,,,,,8569adcbd36c70a7578c017bf5604ea5,,,,,,0,Yondubaegi,1225400847102382162,0,yondubaegi,,1303438635772809311,,"Hi everybody, I'm Jiyeon Lee. I'm an aspiring product manager trying to specialize in AI field. This is my linkedin https://www.linkedin.com/in/jadejylee/",2024-11-18T13:21:19.298Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,false,,,,0,false,2,0,2,,👋,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-18T13:21:19.298000+00:00,false,0,yondubaegi,
1307727186995839076,,,,,,,,,,,0,SureshRam,1306399193404805151,0,sureshram_65627,,1303438635772809311,,"A big thank you to Google for organizing the incredible 5-Day Gen AI Intensive program! It was an amazing learning experience, and I'm thrilled to have earned the Kaggle badge for completing it.

Grateful to be part of such an inspiring community of participants. Let's continue growing together! Feel free to connect with me on LinkedIn: Suresh Kumar Thulasiram. 🚀✨ https://www.linkedin.com/in/sureshkumarthulasiram3007",2024-11-17T15:20:57.776Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-17T15:20:57.776000+00:00,false,0,sureshram_65627,
1307707310839431189,,,,,,,,,,,0,Amir,1307703770762838026,0,amir_45212,,1303438635772809311,,Hi everybody. I am Amir and this is my Linkedin: https://www.linkedin.com/in/amir-rajabi/,2024-11-17T14:01:58.931Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-17T14:01:58.931000+00:00,false,0,amir_45212,
1307690690632749127,,,,,e0352424ef5be829d480aea3ec10e939,,,,,,0,umer0077,1124341245490253904,0,umerh007.,,1303438635772809311,,"https://www.kaggle.com/umerhaddii


Hi Newbies. I am Umer, a Data Scientist and Grandmaster.

Connect with me on Kaggle!

Happy journey.",2024-11-17T12:55:56.365Z,,,,,35516,1,"Machine Learning Specialization from Stanford
Studying Data Science, AI and ML
Data Analytics and AI Research",,,,,,,0,192,bD2CBQAV+lV8VHO6Sgt5nMv6B0d1iIB0Rw==,1,https://images-ext-1.discordapp.net/external/M2ZoKphK9MytxgLmvjAw0mY4YSErH_1-K19bGe_isdA/https/www.kaggle.com/static/images/tiers/Grandmaster%40192.png,https://www.kaggle.com/static/images/tiers/Grandmaster@192.png,192,Umer Haddii | Grandmaster,link,https://www.kaggle.com/umerhaddii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,false,,,,0,false,1,0,1,,🚀,false,false,,0,false,1,0,1,,👍,false,false,,,,,,,,,,,,,,,,,,,,2024-11-17T12:55:56.365000+00:00,false,0,umerh007.,
1307683439159283714,,,,,,,,,,,0,,753803535128199270,0,claribar,,1303438635772809311,,"Hi, I’m Clara Ibarzabal! I’ve participated in NLP and MLOps projects, an Azure Hackathon, and I’m currently involved in computer vision research for the agroindustry. Let’s connect! https://www.linkedin.com/in/clara-ibarzabal/ This is my kaggle account: https://www.kaggle.com/claraibarzabal",2024-11-17T12:27:07.479Z,2024-11-17T12:30:18.812000+00:00,,,,35516,1,Kaggle profile for Clara Ibarzábal,,,,,,,0,192,FvmABYASBeetaXeJZHh2zy/6B3eFh4K7Nw==,1,https://images-ext-1.discordapp.net/external/AHWMgmOVeM8WF8EBBKNgw_kAsJEfkC3o3l5Q4I9_yGk/https/www.kaggle.com/static/images/tiers/Novice%40192.png,https://www.kaggle.com/static/images/tiers/Novice@192.png,193,Clara Ibarzábal | Novice,link,https://www.kaggle.com/claraibarzabal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,false,,,,0,false,1,0,1,,👍,false,false,,0,false,1,0,1,,👋,false,false,,,,,,,,,,,,,,,,,,,,2024-11-17T12:27:07.479000+00:00,false,0,claribar,
